accR:,accP:,gyroR:,gyroP:,gyroY:,cfroll:,cfpitch:
-0.011348, -0.005809,0.030509, -0.004929, 0.008527, -0.010123, -0.004466
-0.013423, -0.007488,0.028111, -0.003064, 0.008260, -0.010201, -0.004416
-0.010236, -0.014641,0.028111, -0.004396, 0.006661, -0.010219, -0.004510
-0.013526, -0.014069,0.029843, -0.003197, 0.005462, -0.010297, -0.004585
-0.011657, -0.008086,0.029576, -0.003197, 0.004396, -0.010337, -0.004539
-0.013995, -0.009664,0.029976, -0.004130, 0.005862, -0.010426, -0.004524
-0.013496, -0.008681,0.030109, -0.006128, 0.007594, -0.010512, -0.004489
-0.012127, -0.013482,0.028644, -0.005862, 0.009459, -0.010567, -0.004556
-0.007498, -0.006552,0.028644, -0.006661, 0.009059, -0.010532, -0.004484
-0.012421, -0.011466,0.028777, -0.006395, 0.006128, -0.010595, -0.004511
-0.007141, -0.014550,0.029843, -0.004796, 0.006928, -0.010544, -0.004595
-0.005378, -0.007865,0.029576, -0.004396, 0.006528, -0.010458, -0.004544
-0.010960, -0.010419,0.029443, -0.003197, 0.008527, -0.010481, -0.004546
-0.013132, -0.009917,0.031708, -0.002798, 0.006928, -0.010545, -0.004529
-0.011595, -0.012935,0.031442, 0.000266, 0.004929, -0.010565, -0.004574
-0.010211, -0.016904,0.028777, -0.006661, 0.007327, -0.010584, -0.004708
-0.012910, -0.007747,0.031974, -0.004796, 0.006928, -0.010649, -0.004643
-0.006942, -0.010178,0.031708, -0.003997, 0.008793, -0.010591, -0.004630
-0.010043, -0.009093,0.034373, 0.000266, 0.008127, -0.010579, -0.004584
-0.001017, -0.013485,0.029976, -0.005462, 0.009326, -0.010409, -0.004645
-0.004843, -0.014527,0.030242, -0.006928, 0.005596, -0.010325, -0.004724
-0.014279, -0.010659,0.030909, -0.004929, 0.007461, -0.010423, -0.004722
-0.010534, -0.019176,0.030109, -0.004663, 0.008393, -0.010444, -0.004893
-0.008125, -0.010969,0.030909, -0.002665, 0.008393, -0.010408, -0.004893
-0.004246, -0.018197,0.029843, -0.006528, 0.009059, -0.010310, -0.005042
-0.010021, -0.010969,0.031042, -0.005462, 0.007194, -0.010326, -0.005039
-0.014169, -0.012078,0.026246, -0.009326, 0.006928, -0.010439, -0.005077
-0.015060, -0.009620,0.032241, -0.003997, 0.006128, -0.010547, -0.005041
-0.014181, -0.009792,0.032507, -0.005063, 0.007994, -0.010640, -0.005009
-0.010760, -0.015970,0.030909, -0.006262, 0.007461, -0.010667, -0.005107
-0.015586, -0.013079,0.031974, -0.003864, 0.008260, -0.010780, -0.005141
-0.015892, -0.016438,0.031442, -0.002398, 0.005063, -0.010892, -0.005244
-0.009317, -0.007209,0.028511, -0.000266, 0.006528, -0.010861, -0.005171
-0.011148, -0.010202,0.027578, -0.002531, 0.007727, -0.010877, -0.005164
-0.014264, -0.009509,0.029843, -0.006928, 0.007194, -0.010972, -0.005134
-0.007301, -0.014399,0.029576, -0.004929, 0.006661, -0.010918, -0.005203
-0.010049, -0.008351,0.031841, -0.006395, 0.007194, -0.010925, -0.005141
-0.008722, -0.011992,0.029976, -0.001599, 0.006528, -0.010888, -0.005161
-0.007665, -0.016607,0.031042, -0.003464, 0.007727, -0.010837, -0.005268
-0.007854, -0.004968,0.028777, -0.007327, 0.005596, -0.010806, -0.005149
-0.011775, -0.010822,0.031042, -0.004796, 0.006262, -0.010844, -0.005141
-0.013752, -0.022395,0.028244, -0.005063, 0.006928, -0.010922, -0.005375
-0.016209, -0.010580,0.027978, -0.006928, 0.010525, -0.011055, -0.005370
-0.007235, -0.016143,0.030109, -0.004263, 0.007860, -0.010995, -0.005467
-0.013264, -0.005008,0.029843, -0.006128, 0.007461, -0.011065, -0.005341
-0.009954, -0.019637,0.031442, -0.004130, 0.011591, -0.011059, -0.005504
-0.014764, -0.007686,0.030642, -0.001865, 0.007594, -0.011140, -0.005427
-0.019234, -0.014832,0.032108, -0.006395, 0.007327, -0.011327, -0.005489
-0.002912, -0.012730,0.030775, -0.002798, 0.007594, -0.011170, -0.005514
-0.007154, -0.014173,0.029576, -0.004929, 0.009859, -0.011109, -0.005571
-0.005375, -0.007458,0.029310, -0.007327, 0.007860, -0.011023, -0.005494
-0.012091, -0.014184,0.029043, -0.000799, 0.004396, -0.011047, -0.005554
-0.007168, -0.012712,0.030642, -0.004396, 0.009992, -0.010987, -0.005577
-0.008264, -0.012966,0.030109, -0.006928, 0.007594, -0.010960, -0.005606
-0.006346, -0.010397,0.027844, -0.005729, 0.007327, -0.010890, -0.005593
-0.010763, -0.011711,0.030109, -0.005063, 0.008393, -0.010907, -0.005597
-0.013427, -0.011336,0.027844, -0.003864, 0.009859, -0.010973, -0.005603
-0.004666, -0.017107,0.030775, -0.005596, 0.010791, -0.010868, -0.005712
-0.016877, -0.011342,0.029177, -0.004263, 0.006795, -0.011005, -0.005711
-0.013333, -0.013128,0.033973, -0.005329, 0.007594, -0.011073, -0.005726
-0.010913, -0.014954,0.029177, -0.006395, 0.006928, -0.011095, -0.005796
-0.009922, -0.009721,0.031442, -0.003597, 0.007461, -0.011085, -0.005751
-0.015118, -0.012688,0.030242, -0.002531, 0.008127, -0.011176, -0.005772
-0.010153, -0.009951,0.033973, -0.004396, 0.005729, -0.011173, -0.005722
-0.012540, -0.016200,0.033973, -0.005862, 0.007194, -0.011223, -0.005798
-0.009347, -0.011053,0.032774, -0.003997, 0.009326, -0.011201, -0.005775
-0.011434, -0.009665,0.033040, -0.004396, 0.009459, -0.011223, -0.005723
-0.010156, -0.013384,0.029843, -0.006262, 0.008127, -0.011226, -0.005759
-0.010377, -0.009771,0.027978, -0.005862, 0.004530, -0.011232, -0.005730
-0.008818, -0.006731,0.031042, -0.003464, 0.008260, -0.011197, -0.005628
-0.011409, -0.008897,0.029043, -0.006795, 0.007194, -0.011228, -0.005580
-0.009061, -0.007709,0.031442, -0.004663, 0.006528, -0.011203, -0.005499
-0.005214, -0.009277,0.031442, -0.003464, 0.007194, -0.011097, -0.005451
-0.008672, -0.015378,0.031708, -0.002265, 0.005995, -0.011057, -0.005526
-0.005550, -0.009494,0.031042, -0.004396, 0.006661, -0.010965, -0.005483
-0.009042, -0.011133,0.029710, -0.003464, 0.006795, -0.010940, -0.005480
-0.013655, -0.020346,0.030509, -0.001865, 0.006262, -0.011001, -0.005658
-0.011856, -0.014348,0.031175, -0.004796, 0.011857, -0.011037, -0.005709
-0.011064, -0.012405,0.031442, -0.006395, 0.009726, -0.011063, -0.005720
-0.011594, -0.012882,0.028244, -0.003197, 0.009059, -0.011086, -0.005752
-0.008469, -0.007520,0.034373, -0.002132, 0.005862, -0.011042, -0.005653
-0.009081, -0.010436,0.034106, -0.005063, 0.007994, -0.011023, -0.005615
-0.013307, -0.011203,0.029976, -0.005462, 0.006128, -0.011090, -0.005609
-0.013556, -0.002752,0.029310, -0.003864, 0.009059, -0.011154, -0.005437
-0.007285, -0.014368,0.029576, -0.003197, 0.010125, -0.011089, -0.005500
-0.007871, -0.014127,0.031175, -0.003730, 0.008393, -0.011040, -0.005550
-0.012300, -0.012503,0.030109, -0.004663, 0.007061, -0.011083, -0.005571
-0.010458, -0.009520,0.030775, -0.005995, 0.005329, -0.011094, -0.005530
-0.013489, -0.016742,0.032641, -0.003064, 0.006262, -0.011154, -0.005626
-0.010517, -0.012675,0.031042, -0.005063, 0.008393, -0.011161, -0.005645
-0.013626, -0.013828,0.034639, -0.002531, 0.009859, -0.011220, -0.005673
-0.012208, -0.012006,0.026912, -0.004530, 0.007594, -0.011258, -0.005694
-0.014258, -0.003734,0.029843, -0.002531, 0.009193, -0.011328, -0.005538
-0.005400, -0.017817,0.032108, -0.004396, 0.007860, -0.011226, -0.005658
-0.011473, -0.012412,0.029177, -0.004929, 0.008660, -0.011251, -0.005678
-0.016014, -0.010450,0.030509, -0.005862, 0.009459, -0.011369, -0.005654
-0.014637, -0.010233,0.031575, -0.002531, 0.009193, -0.011444, -0.005622
-0.012799, -0.013405,0.032374, -0.004796, 0.007194, -0.011490, -0.005651
-0.015015, -0.015962,0.035172, 0.000666, 0.009193, -0.011558, -0.005719
-0.008801, -0.007861,0.033307, -0.003464, 0.009059, -0.011516, -0.005631
-0.009994, -0.013640,0.030775, -0.004796, 0.008793, -0.011505, -0.005671
-0.005402, -0.011682,0.028910, -0.004796, 0.007994, -0.011402, -0.005678
-0.013967, -0.007692,0.030509, -0.005462, 0.009459, -0.011474, -0.005599
-0.015487, -0.004094,0.028377, -0.006128, 0.008926, -0.011579, -0.005457
-0.009204, -0.017735,0.030109, -0.004929, 0.009193, -0.011550, -0.005585
-0.007901, -0.005808,0.031841, -0.005196, 0.008926, -0.011498, -0.005464
-0.017028, -0.019139,0.032241, -0.003730, 0.006661, -0.011623, -0.005612
-0.006122, -0.012042,0.028511, -0.005462, 0.006128, -0.011534, -0.005628
-0.010391, -0.006343,0.028244, -0.003197, 0.008260, -0.011524, -0.005532
-0.008887, -0.009837,0.034506, -0.002798, 0.007061, -0.011482, -0.005483
-0.006394, -0.017345,0.030242, -0.003864, 0.007994, -0.011396, -0.005602
-0.008916, -0.009116,0.031308, -0.004530, 0.007061, -0.011364, -0.005549
-0.013055, -0.012523,0.028111, -0.003597, 0.005862, -0.011412, -0.005578
-0.009477, -0.003859,0.029710, -0.006928, 0.006928, -0.011400, -0.005427
-0.007252, -0.010475,0.030376, -0.005995, 0.008393, -0.011341, -0.005409
-0.006535, -0.007478,0.032374, -0.003997, 0.008926, -0.011260, -0.005324
-0.011106, -0.017029,0.030109, -0.003331, 0.005329, -0.011270, -0.005440
-0.007651, -0.009731,0.029310, -0.006395, 0.008660, -0.011223, -0.005411
-0.014881, -0.010804,0.028511, -0.007061, 0.009726, -0.011324, -0.005407
-0.009446, -0.011538,0.031442, -0.005729, 0.008926, -0.011309, -0.005406
