accR,accP,gyroR,gyroP,gyroY,cfroll,cfpitch
-0.012355, -0.009602,0.025313, -0.007994, 0.014388, -0.009334, -0.003655
-0.008779, -0.007158,0.020783, -0.005196, 0.016120, -0.009344, -0.003643
-0.008760, -0.004852,0.019851, -0.008393, 0.017319, -0.009365, -0.003590
-0.011615, -0.005329,0.021716, -0.008926, 0.017186, -0.009445, -0.003539
-0.007656, -0.009146,0.021450, -0.008127, 0.015188, -0.009441, -0.003567
-0.012282, -0.010315,0.020783, -0.002798, 0.016387, -0.009509, -0.003621
-0.008256, -0.009678,0.025047, -0.003464, 0.019051, -0.009497, -0.003644
-0.011308, -0.008532,0.018652, -0.007461, 0.017186, -0.009563, -0.003668
-0.007508, -0.009267,0.021982, -0.006528, 0.016920, -0.009547, -0.003694
-0.011558, -0.004555,0.021849, -0.007327, 0.019051, -0.009616, -0.003626
-0.009468, -0.007425,0.024247, -0.005995, 0.018652, -0.009637, -0.003607
-0.004168, -0.008671,0.021849, -0.008393, 0.015987, -0.009560, -0.003622
-0.009706, -0.006942,0.022915, -0.006661, 0.017053, -0.009589, -0.003599
-0.010360, -0.007990,0.022382, -0.009193, 0.014388, -0.009641, -0.003599
-0.008223, -0.007347,0.021183, -0.005596, 0.019984, -0.009634, -0.003591
-0.008765, -0.005259,0.022515, -0.007327, 0.018652, -0.009646, -0.003536
-0.010621, -0.008987,0.023048, -0.005462, 0.015188, -0.009686, -0.003555
-0.002908, -0.009264,0.022116, -0.007994, 0.014388, -0.009582, -0.003582
-0.005325, -0.010986,0.022382, -0.007327, 0.012923, -0.009526, -0.003643
-0.008398, -0.013235,0.022782, -0.005995, 0.015588, -0.009527, -0.003745
-0.014065, -0.002039,0.022915, -0.007061, 0.014388, -0.009645, -0.003621
-0.015142, -0.010411,0.023714, -0.005196, 0.012124, -0.009776, -0.003664
-0.005725, -0.008688,0.022649, -0.005862, 0.015721, -0.009717, -0.003676
-0.002100, -0.006639,0.020783, -0.005196, 0.015987, -0.009585, -0.003653
-0.015436, -0.007650,0.020783, -0.007594, 0.013856, -0.009732, -0.003652
-0.009927, -0.004525,0.018785, -0.007860, 0.014921, -0.009767, -0.003596
-0.009723, -0.008833,0.025580, -0.005596, 0.017319, -0.009788, -0.003600
-0.008592, -0.013869,0.021050, -0.006528, 0.014255, -0.009790, -0.003723
-0.009597, -0.006421,0.021583, -0.006661, 0.017719, -0.009812, -0.003692
-0.011443, -0.004510,0.020783, -0.006262, 0.013856, -0.009869, -0.003627
-0.006174, -0.010312,0.021849, -0.006395, 0.017586, -0.009820, -0.003675
-0.007635, -0.011756,0.024647, -0.006661, 0.013589, -0.009803, -0.003740
-0.003251, -0.010092,0.020917, -0.007327, 0.016920, -0.009700, -0.003785
-0.010067, -0.011476,0.020783, -0.007194, 0.015321, -0.009736, -0.003858
-0.007510, -0.010825,0.021849, -0.004130, 0.015321, -0.009708, -0.003911
-0.004823, -0.012771,0.025180, -0.005063, 0.017586, -0.009630, -0.003990
-0.007633, -0.004526,0.018252, -0.010258, 0.015454, -0.009630, -0.003929
-0.011577, -0.001430,0.020917, -0.005862, 0.016920, -0.009692, -0.003797
-0.009706, -0.007347,0.024380, -0.005995, 0.018252, -0.009716, -0.003773
-0.007327, -0.013703,0.020783, -0.008393, 0.015454, -0.009701, -0.003890
-0.005928, -0.003907,0.021183, -0.006262, 0.015321, -0.009650, -0.003807
-0.008437, -0.003712,0.020650, -0.008660, 0.015987, -0.009660, -0.003724
-0.011177, -0.008383,0.024247, -0.005462, 0.015987, -0.009711, -0.003722
-0.012069, -0.008137,0.020517, -0.005729, 0.013189, -0.009781, -0.003730
-0.006886, -0.012489,0.023048, -0.009059, 0.013189, -0.009759, -0.003815
-0.009698, -0.011179,0.020250, -0.006795, 0.015987, -0.009784, -0.003883
-0.000805, -0.013207,0.023581, -0.008260, 0.017719, -0.009637, -0.003977
-0.010606, -0.013189,0.020783, -0.008926, 0.016387, -0.009691, -0.004080
-0.010503, -0.012321,0.021450, -0.009859, 0.017319, -0.009746, -0.004160
-0.011461, -0.012877,0.022782, -0.005729, 0.015987, -0.009803, -0.004245
-0.010251, -0.017153,0.021316, -0.006661, 0.015987, -0.009838, -0.004420
-0.010290, -0.012442,0.020250, -0.005729, 0.017719, -0.009869, -0.004501
-0.013461, -0.010674,0.021450, -0.003331, 0.013323, -0.009954, -0.004540
-0.005200, -0.011952,0.019318, -0.004796, 0.014522, -0.009878, -0.004613
-0.002914, -0.003931,0.020517, -0.006661, 0.015055, -0.009765, -0.004519
-0.006687, -0.010065,0.018119, -0.006395, 0.017586, -0.009728, -0.004559
-0.009804, -0.012050,0.022649, -0.006262, 0.019051, -0.009754, -0.004620
-0.006563, -0.009981,0.021849, -0.009193, 0.017719, -0.009727, -0.004641
-0.009612, -0.012185,0.021050, -0.003331, 0.015987, -0.009737, -0.004710
-0.010209, -0.012047,0.020783, -0.005063, 0.016254, -0.009767, -0.004775
-0.018542, -0.008794,0.021716, -0.005063, 0.016787, -0.009962, -0.004770
-0.006922, -0.008754,0.024380, -0.003730, 0.016120, -0.009916, -0.004754
-0.012682, -0.010309,0.022382, -0.009859, 0.016520, -0.010010, -0.004778
-0.011372, -0.008228,0.023048, -0.007994, 0.018385, -0.010068, -0.004756
-0.011174, -0.007223,0.026112, -0.006528, 0.012124, -0.010116, -0.004703
-0.010503, -0.010369,0.020783, -0.007860, 0.014788, -0.010155, -0.004735
-0.010263, -0.012409,0.024647, -0.006128, 0.014122, -0.010181, -0.004792
-0.009509, -0.007099,0.022382, -0.007061, 0.015588, -0.010195, -0.004750
-0.007361, -0.006475,0.026246, -0.003864, 0.016120, -0.010154, -0.004682
-0.007335, -0.008761,0.016920, -0.005462, 0.016387, -0.010119, -0.004697
-0.004836, -0.005858,0.022782, -0.007061, 0.014921, -0.010041, -0.004631
-0.012137, -0.013210,0.022116, -0.007994, 0.016254, -0.010114, -0.004716
-0.006317, -0.008468,0.019185, -0.006661, 0.016254, -0.010064, -0.004716
-0.013839, -0.007191,0.021716, -0.007061, 0.016387, -0.010167, -0.004680
-0.008506, -0.008029,0.022116, -0.008660, 0.016653, -0.010168, -0.004661
-0.013093, -0.007598,0.024380, -0.005063, 0.016120, -0.010246, -0.004624
-0.007537, -0.011271,0.022782, -0.009859, 0.014655, -0.010231, -0.004667
0.000477, -0.006677,0.019051, -0.007061, 0.018652, -0.010044, -0.004633
-0.010124, -0.018829,0.021849, -0.008926, 0.016787, -0.010081, -0.004831
-0.003852, -0.012503,0.020250, -0.006262, 0.014921, -0.009981, -0.004905
-0.000808, -0.009833,0.019584, -0.005462, 0.017586, -0.009819, -0.004927
-0.010209, -0.011298,0.024514, -0.003730, 0.018385, -0.009841, -0.004958
-0.011214, -0.011487,0.021316, -0.004796, 0.019718, -0.009887, -0.005005
-0.010603, -0.007001,0.021050, -0.005462, 0.016653, -0.009923, -0.004963
-0.005392, -0.008395,0.024514, -0.005995, 0.016787, -0.009856, -0.004935
-0.005365, -0.008014,0.022382, -0.006661, 0.018785, -0.009792, -0.004909
-0.007510, -0.005074,0.023448, -0.005995, 0.018252, -0.009770, -0.004821
-0.008455, -0.010619,0.022782, -0.006661, 0.014788, -0.009770, -0.004847
-0.005754, -0.008326,0.024380, -0.005729, 0.018252, -0.009712, -0.004821
-0.012994, -0.005992,0.020783, -0.008926, 0.016653, -0.009813, -0.004763
-0.010740, -0.010605,0.022116, -0.006395, 0.015854, -0.009856, -0.004793
-0.011087, -0.013317,0.020917, -0.007061, 0.016254, -0.009909, -0.004882
-0.007817, -0.007749,0.021050, -0.005063, 0.019984, -0.009887, -0.004857
-0.007547, -0.003943,0.022782, -0.004929, 0.014788, -0.009859, -0.004749
-0.007039, -0.016424,0.020517, -0.007860, 0.015188, -0.009834, -0.004902
-0.006360, -0.007781,0.022515, -0.006661, 0.015721, -0.009790, -0.004871
-0.003232, -0.010773,0.021316, -0.009059, 0.018252, -0.009695, -0.004906
-0.009602, -0.010278,0.021583, -0.005596, 0.017053, -0.009715, -0.004929
-0.013247, -0.005503,0.018918, -0.008660, 0.017186, -0.009819, -0.004866
-0.008748, -0.010565,0.022382, -0.010258, 0.015854, -0.009838, -0.004892
-0.010176, -0.009294,0.021050, -0.006128, 0.014255, -0.009869, -0.004898
-0.005708, -0.006782,0.020783, -0.005995, 0.015454, -0.009809, -0.004854
-0.009366, -0.008895,0.021450, -0.007327, 0.014921, -0.009829, -0.004851
-0.007486, -0.008093,0.021849, -0.007594, 0.016653, -0.009812, -0.004830
-0.004974, -0.008268,0.023581, -0.005862, 0.017053, -0.009738, -0.004806
-0.007329, -0.007600,0.021849, -0.004396, 0.014921, -0.009707, -0.004777
-0.005333, -0.008709,0.022116, -0.008660, 0.017852, -0.009654, -0.004768
-0.004597, -0.012168,0.021450, -0.007327, 0.019318, -0.009581, -0.004832
-0.010725, -0.004857,0.018519, -0.008527, 0.014522, -0.009638, -0.004760
-0.005198, -0.010802,0.021982, -0.005729, 0.017186, -0.009571, -0.004795
-0.010151, -0.010422,0.023848, -0.005596, 0.017319, -0.009605, -0.004814
-0.013396, -0.004127,0.023448, -0.005995, 0.015854, -0.009704, -0.004708
-0.011895, -0.002568,0.021982, -0.007994, 0.016254, -0.009779, -0.004579
-0.012459, -0.011240,0.023448, -0.005729, 0.015188, -0.009855, -0.004621
-0.009402, -0.009267,0.023848, -0.005995, 0.017319, -0.009870, -0.004620
-0.010110, -0.004314,0.024647, -0.001199, 0.015188, -0.009879, -0.004517
-0.010592, -0.015479,0.023714, -0.005862, 0.017319, -0.009916, -0.004644
-0.010662, -0.007913,0.023048, -0.007994, 0.017986, -0.009963, -0.004619
-0.010852, -0.014221,0.022116, -0.006661, 0.016387, -0.010007, -0.004724
-0.010099, -0.014946,0.021183, -0.006528, 0.012790, -0.010034, -0.004845
-0.013643, -0.012421,0.021583, -0.004796, 0.015188, -0.010125, -0.004912
-0.009809, -0.003610,0.022382, -0.006661, 0.016653, -0.010145, -0.004799
